Site	Gene	Normalized.abundance
Cen01	acr3	0.193455245428296
Cen01	aioA	0.0173243503368624
Cen01	arrA	0
Cen01	arsB	0
Cen01	arsC_glut	0.1944177093359
Cen01	arsC_thio	0.0173243503368624
Cen01	arsD	0.00481231953801732
Cen01	arsM	0.397497593840231
Cen01	arxA	0
Cen03	acr3	0.145850796311819
Cen03	aioA	0.0100586756077117
Cen03	arrA	0
Cen03	arsB	0
Cen03	arsC_glut	0.179379715004191
Cen03	arsC_thio	0.00838222967309304
Cen03	arsD	0.00419111483654652
Cen03	arsM	0.429170159262364
Cen03	arxA	0
Cen04	acr3	0.462077012835473
Cen04	aioA	0.0233372228704784
Cen04	arrA	0
Cen04	arsB	0
Cen04	arsC_glut	0.162193698949825
Cen04	arsC_thio	0.0338389731621937
Cen04	arsD	0.0210035005834306
Cen04	arsM	0.61610268378063
Cen04	arxA	0
Cen05	acr3	0.213935230618253
Cen05	aioA	0.0480863591756624
Cen05	arrA	0
Cen05	arsB	0
Cen05	arsC_glut	0.225711481844946
Cen05	arsC_thio	0.00588812561334642
Cen05	arsD	0.00883218842001963
Cen05	arsM	0.493621197252208
Cen05	arxA	0
Cen06	acr3	0.366724738675958
Cen06	aioA	0.00958188153310104
Cen06	arrA	0
Cen06	arsB	0
Cen06	arsC_glut	0.306620209059234
Cen06	arsC_thio	0.00696864111498257
Cen06	arsD	0.0113240418118467
Cen06	arsM	0.689024390243902
Cen06	arxA	0
Cen07	acr3	0.175421209117939
Cen07	aioA	0.0148662041625372
Cen07	arrA	0
Cen07	arsB	0
Cen07	arsC_glut	0.178394449950446
Cen07	arsC_thio	0.0109018830525273
Cen07	arsD	0.0247770069375619
Cen07	arsM	0.445986124876115
Cen07	arxA	0
Cen10	acr3	0.417708685366678
Cen10	aioA	0.00743494423791822
Cen10	arrA	0
Cen10	arsB	0.00439337614058802
Cen10	arsC_glut	0.066238594119635
Cen10	arsC_thio	0.00777289624873267
Cen10	arsD	0.000337952010814464
Cen10	arsM	0.567083474146671
Cen10	arxA	0
Cen12	acr3	0.365472910927457
Cen12	aioA	0.000918273645546373
Cen12	arrA	0
Cen12	arsB	0
Cen12	arsC_glut	0.151974288337925
Cen12	arsC_thio	0.000918273645546372
Cen12	arsD	0.0183654729109274
Cen12	arsM	0.784205693296602
Cen12	arxA	0
Cen13	acr3	0.132352941176471
Cen13	aioA	0.0115864527629234
Cen13	arrA	0.0120320855614973
Cen13	arsB	0
Cen13	arsC_glut	0.0450089126559715
Cen13	arsC_thio	0.0111408199643494
Cen13	arsD	0
Cen13	arsM	0.474598930481284
Cen13	arxA	0.0405525846702317
Cen14	acr3	0.193121693121693
Cen14	aioA	0
Cen14	arrA	0
Cen14	arsB	0
Cen14	arsC_glut	0.0306878306878307
Cen14	arsC_thio	0.00740740740740741
Cen14	arsD	0.00105820105820106
Cen14	arsM	0.586772486772487
Cen14	arxA	0
Cen15	acr3	0.420650095602294
Cen15	aioA	0
Cen15	arrA	0
Cen15	arsB	0
Cen15	arsC_glut	0.236456341618866
Cen15	arsC_thio	0.00127469725940089
Cen15	arsD	0.0274059910771191
Cen15	arsM	0.620140216698534
Cen15	arxA	0
Cen16	acr3	0.359607218683652
Cen16	aioA	0.012208067940552
Cen16	arrA	0
Cen16	arsB	0
Cen16	arsC_glut	0.106687898089172
Cen16	arsC_thio	0.0180467091295116
Cen16	arsD	0.0106157112526539
Cen16	arsM	0.569002123142251
Cen16	arxA	0
Cen17	acr3	0.0571923743500867
Cen17	aioA	0.00519930675909879
Cen17	arrA	0
Cen17	arsB	0
Cen17	arsC_glut	0.162911611785095
Cen17	arsC_thio	0.024263431542461
Cen17	arsD	0.00519930675909879
Cen17	arsM	0.207972270363952
Cen17	arxA	0
